      20600          10           5           4           1           1           2           2
#  Timestep    No_Moles    No_Specs          H2      C10HO3          HO           O          O2
      20700          10           5           4           1           1           2           2
#  Timestep    No_Moles    No_Specs          H2      C10HO3          HO           O          O2
      20800          10           5           4           1           1           2           2
#  Timestep    No_Moles    No_Specs          H2      C10HO3          HO           O          O2
      20900          10           5           4           1           1           2           2
#  Timestep    No_Moles    No_Specs          H2      C10HO3          HO           O          O2
      21000          10           5           4           1           1           2           2
#  Timestep    No_Moles    No_Specs          H2      C10HO3          HO           O          O2
      21100          10           5           4           1           1           2           2
#  Timestep    No_Moles    No_Specs          H2      C10HO3          HO           O          O2
      21200          10           5           4           1           1           2           2
#  Timestep    No_Moles    No_Specs          H2      C10HO3          HO           O          O2
      21300          10           5           4           1           1           2           2
#  Timestep    No_Moles    No_Specs          H2      C10HO3          HO           O          O2
      21400          10           5           4           1           1           2           2
#  Timestep    No_Moles    No_Specs          H2      C10HO3          HO           O          O2
      21500          10           5           4           1           1           2           2
#  Timestep    No_Moles    No_Specs          H2      C10HO3          HO           O          O2
      21600          10           5           4           1           1           2           2
#  Timestep    No_Moles    No_Specs          H2      C10HO3          HO           O          O2
      21700          10           5           4           1           1           2           2
#  Timestep    No_Moles    No_Specs          H2      C10HO3          HO           O          O2
      21800          10           5           4           1           1           2           2
#  Timestep    No_Moles    No_Specs          H2      C10HO3          HO           O          O2
      21900          10           5           4           1           1           2           2
#  Timestep    No_Moles    No_Specs          H2      C10HO3          HO           O          O2
      22000          10           5           4           1           1           2           2
#  Timestep    No_Moles    No_Specs          H2      C10HO3          HO           O          O2
      22100          10           5           4           1           1           2           2
#  Timestep    No_Moles    No_Specs          H2      C10HO3          HO           O          O2
      22200          10           5           4           1           1           2           2
#  Timestep    No_Moles    No_Specs          H2      C10HO3          HO           O          O2
      22300          10           5           4           1           1           2           2
#  Timestep    No_Moles    No_Specs          H2      C10HO3          HO           O          O2
      22400          10           5           4           1           1           2           2
#  Timestep    No_Moles    No_Specs          H2      C10HO3          HO           O          O2
      22500          10           5           4           1           1           2           2
#  Timestep    No_Moles    No_Specs          H2      C10HO3          HO           O          O2
      22600          10           5           4           1           1           2           2
#  Timestep    No_Moles    No_Specs          H2      C10HO3          HO           O          O2
      22700          10           5           4           1           1           2           2
#  Timestep    No_Moles    No_Specs          H2      C10HO3          HO           O          O2
      22800          10           5           4           1           1           2           2
#  Timestep    No_Moles    No_Specs          H2      C10HO3          HO           O          O2
      22900          10           5           4           1           1           2           2
#  Timestep    No_Moles    No_Specs          H2      C10HO3          HO           O          O2
      23000          10           5           4           1           1           2           2
#  Timestep    No_Moles    No_Specs          H2      C10HO3          HO           O          O2
      23100          10           5           4           1           1           2           2
#  Timestep    No_Moles    No_Specs          H2      C10HO3          HO           O          O2
      23200          10           5           4           1           1           2           2
#  Timestep    No_Moles    No_Specs          H2      C10HO3          HO           O          O2
      23300          10           5           4           1           1           2           2
#  Timestep    No_Moles    No_Specs          H2      C10HO3          HO           O          O2
      23400          10           5           4           1           1           2           2
#  Timestep    No_Moles    No_Specs          H2      C10HO2          HO           O          O2
      23500          11           5           4           1           1           3           2
#  Timestep    No_Moles    No_Specs          H2      C10HO2          HO           O          O2
      23600          11           5           4           1           1           3           2
#  Timestep    No_Moles    No_Specs          H2      C10HO2          HO           O          O2
      23700          11           5           4           1           1           3           2
#  Timestep    No_Moles    No_Specs          H2      C10HO2          HO           O          O2
      23800          11           5           4           1           1           3           2
#  Timestep    No_Moles    No_Specs          H2      C10HO2          HO           O          O2
      23900          11           5           4           1           1           3           2
#  Timestep    No_Moles    No_Specs          H2      C10HO2          HO           O          O2
      24000          11           5           4           1           1           3           2
#  Timestep    No_Moles    No_Specs          H2      C10HO2          HO           O          O2
      24100          11           5           4           1           1           3           2
#  Timestep    No_Moles    No_Specs          H2      C10HO2          HO           O          O2
      24200          11           5           4           1           1           3           2
#  Timestep    No_Moles    No_Specs          H2      C10HO2          HO           O          O2
      24300          11           5           4           1           1           3           2
#  Timestep    No_Moles    No_Specs          H2      C10HO2          HO           O          O2
      24400          11           5           4           1           1           3           2
#  Timestep    No_Moles    No_Specs          H2      C10HO2          HO           O          O2
      24500          11           5           4           1           1           3           2
#  Timestep    No_Moles    No_Specs          H2      C10HO2          HO           O          O2
      24600          11           5           4           1           1           3           2
#  Timestep    No_Moles    No_Specs          H2      C10HO2          HO           O          O2
      24700          11           5           4           1           1           3           2
#  Timestep    No_Moles    No_Specs          H2      C10HO2          HO           O          O2
      24800          11           5           4           1           1           3           2
#  Timestep    No_Moles    No_Specs          H2      C10HO2          HO           O          O2
      24900          11           5           4           1           1           3           2
#  Timestep    No_Moles    No_Specs          H2      C10HO2          HO           O          O2
      25000          11           5           4           1           1           3           2
#  Timestep    No_Moles    No_Specs          H2      C10HO2          HO           O          O2
      25100          11           5           4           1           1           3           2
#  Timestep    No_Moles    No_Specs          H2      C10HO2          HO           O          O2
      25200          11           5           4           1           1           3           2
#  Timestep    No_Moles    No_Specs          H2      C10HO2          HO           O          O2
      25300          11           5           4           1           1           3           2
#  Timestep    No_Moles    No_Specs          H2      C10HO2          HO           O          O2
      25400          11           5           4           1           1           3           2
#  Timestep    No_Moles    No_Specs          H2      C10HO2          HO           O          O2
      25500          11           5           4           1           1           3           2
