30
 Atoms. Timestep: 0
2 5.81976 9.78384 9.57096
2 7.09418 10.3633 9.59193
2 8.01868 11.1628 9.71467
2 8.94512 12.1434 10.0741
2 9.9719 12.7211 10.1867
2 11.152 13.631 10.0023
2 12.1106 14.0974 10.3041
2 13.3742 14.8874 10.3169
2 14.4926 15.4371 10.2875
3 9.00224 15.0907 15.3354
3 10.1486 15.5478 15.4149
3 20.3774 8.72128 17.814
3 16.3291 19.6508 13.1531
3 16.0715 19.2624 11.9404
3 24.0953 8.00084 15.9867
3 20.9119 0.228286 14.2462
3 22.575 15.9461 21.059
3 2.10533 21.7543 12.1492
3 3.12502 22.4535 12.2381
30
 Atoms. Timestep: 1400
1 18.3787 2.27796 20.6472
1 18.2392 1.7014 20.1357
1 0.391755 24.7104 2.39216
1 24.6182 24.4837 2.65548
1 8.47681 0.922076 1.69122
1 8.37146 1.59917 2.08766
1 11.3828 11.0419 23.9648
1 11.5176 10.8412 24.8113
1 11.9845 3.47545 12.1426
1 12.0025 4.12584 12.7302
2 4.72822 9.26455 9.66245
2 5.8988 9.75725 9.53057
2 7.1066 10.3827 9.52398
2 8.01854 11.0929 9.89921
2 9.01033 12.0037 10.1718
2 9.87671 12.8406 10.126
2 11.1522 13.551 10.1947
2 12.1232 14.1959 10.0871
2 13.3863 14.9028 10.1924
2 14.4492 15.4766 10.4534
3 8.883 15.0095 15.2706
3 9.96064 15.6241 15.4738
3 20.4507 8.52617 17.8952
3 16.1912 19.7 13.1249
3 16.0724 19.3327 11.8236
3 24.219 7.74265 16.0029
3 20.9116 0.431214 14.2335
3 22.5854 15.8821 21.2236
3 2.24342 21.813 11.9672
3 3.2119 22.5428 12.2683
30
 Atoms. Timestep: 1500
1 18.19 2.2994 20.4612
1 18.0146 1.71433 19.9366
1 0.240816 24.6087 2.40731
1 24.4869 24.4103 2.73969
1 8.66792 0.887672 1.69759
1 8.39798 1.51539 2.11425
1 11.3388 11.1146 23.9678
1 11.8049 11.1639 24.699
1 12.1496 3.46318 12.4709
1 12.0119 4.05642 12.9814
2 4.60742 9.11846 9.38185
2 5.77545 9.69546 9.65047
2 6.99601 10.4764 9.78271
2 8.01607 11.0664 9.79335
2 9.09047 11.9362 10.121
2 10.0395 12.7295 10.219
2 11.1199 13.6555 10.1668
2 12.1631 14.3211 10.0601
2 13.456 14.9139 10.3272
2 14.5092 15.6257 10.3955
3 8.77992 14.9336 15.2059
3 9.76622 15.6937 15.5293
3 20.5193 8.33623 17.9755
3 16.0504 19.7333 13.0525
3 16.0778 19.411 11.7529
3 24.3415 7.49158 16.0175
3 20.9105 0.629123 14.2225
3 22.5955 15.8202 21.3836
3 2.38622 21.8754 11.7901
3 3.28818 22.624 12.2978
30
 Atoms. Timestep: 1600
1 18.0172 2.34377 20.2817
1 17.7942 1.71331 19.7093
1 0.0804064 24.5055 2.42724
1 24.3662 24.34 2.81817
1 8.869 0.84737 1.69718
1 8.41416 1.43917 2.14717
1 11.3739 11.203 24.0699
1 12.0105 11.4666 24.4888
1 12.3079 3.43683 12.7822
1 12.0266 4.00128 13.2435
2 4.77046 9.01586 9.28052
2 5.73942 9.79471 9.53575
